,heading,date,link
20,"GUIDELINES AND TIMELINE FOR REGISTRATION FOR NEXT ODD SEMESTERPublished By: Prof SUJATA SENGAR, ACADEMIC SECTION",26-06-2019,https://www.imsnsit.org/imsnsit/plum_url.php?wbKUzHW50QLDdr6MfNstf5WVizX3r5rVpV2u7kUpM26tOUTLSNnygNpZ6hnUI9bmKXhQekVZhF6VyI7P63IwzQqK1FpSpZs8sC7J4cRVsfhZUBF7/6QitzuuHwGkbxorl3rp+bvnXQLJBLdWBRtCIowK3zeBlGf4/xDHwtkARxxH9eVuVQMlsOplxYniHJjm1gOwblW6q5HY8B+jWzD/xmUunbsdC+Wnu233EO9uP6j7u86aku0ktYyThmFrmrAj
21,"Invitation of Applications for Female Physiotherapist (Part-time basis) in NSUTPublished By:  SURESH SARAF, ASST REGISTRAR-1, ESTABLISHMENT SECTION",26-06-2019,https://www.imsnsit.org/imsnsit/plum_url.php?/WWjHtzO3IKi5kWMFl/Z1Doi+oh+vprNEp191llPOSqpl3cQH5E8/BQIr8Yc0Q/UgMiczhUphYlkVyyGvefYUYWeui/XhhQcEQ7vGAg3eJb9P7oxnt4HtFVuz+QKbmQrMZflVsXtna2FdY4zBdQ7JXhJsQUh2rxo0WbWv/oW6NMoMERa/Fk3WHvA+5Q1j111hNOqlbLhtVOP/M00isZy/Q==
22,"Time table related query (COE department)Published By:  PREETI KAUR, ASSOCIATE PROFESSOR, COMPUTER ENGINEERING",25-06-2019,https://www.imsnsit.org/imsnsit/plum_url.php?RZ+3k/jJgpdtjZaE6MssrngjBAiiPeHaGHIZ2rF92c6q8TRUx5NZPyBdb3xK+SDQH7wVcI8i5iBNwnShOdkYrDhBMtm+SaArdlGTVZK6KNr0MgOBMq9Or5pwrM0qZkLy4NMGnsyo+p/xQPz9YSiA+7HtL5h1DSSFWd3cRFuBeR3PQjiNP+gpigmZL+LIG1VBPXGoZk4URrO3gam7bzkHLy3Xl8LSRgZrZMnRulBfDxQ=
23,"TIME TABLE (COE) FOR VII SEMESTER 2019-20Published By:  PREETI KAUR, ASSOCIATE PROFESSOR, COMPUTER ENGINEERING",25-06-2019,https://www.imsnsit.org/imsnsit/plum_url.php?F61XBLHGKYHFmY0WpE3KxsPZeQM7V2Duu7xHHZ4qwrfaJbyRr+yVnInc62Hwy0R6az2CgeZ6Tss2gY8uuDY/b4Xeeg5312eBBGgaqGhyUidoXhUUb6+Wz/gG908sfVa6zcCizmYn7Jy5viDO5fV0Id2a57ZQwlG3twxqY9AeWTqOmawehM0OuDrF048ozqeM
24,"TIME TABLE (COE) FOR V SEMESTER 2019-20Published By:  PREETI KAUR, ASSOCIATE PROFESSOR, COMPUTER ENGINEERING",25-06-2019,https://www.imsnsit.org/imsnsit/plum_url.php?tF5jLvTqipS+9ONHYp1k+sJZZk6cJLkRcxzoTExPzmmt/Gl3aeK9A5JAXTcQ0L7DPD8hbBpCMnswmKGYTM6kS+iFguc8iXb+I0SljyDYbE2xSSmxbJVA6oz0ltEJX4rt0hYWqrkCJY/bLLiA6K2l8GcfYwwG8UVa5Z7bAc2FdPtz3ikVhEV0VoX/Ye9YivkIApvkAOAR0+n9OjMxlnWUyQ==
25,"TIME TABLE (COE) FOR III SEMESTER 2019-20Published By:  PREETI KAUR, ASSOCIATE PROFESSOR, COMPUTER ENGINEERING",25-06-2019,https://www.imsnsit.org/imsnsit/plum_url.php?GNcgR7b1MjvbUijWmfxnOV/ZBNpI1JPMSHiEJfTAVWHOsrlE5RtLw7nQgvvLt0Vfwijc20HYjAPPs2gZfz+G1Dx3MDmTOr1h0PSLkMYhpE5unzLJuSVUYD3S9iWfPevA8wFJUpK+vptVTquuTpNSvVleTWXsjZGmKQfzGC9OKWls7hYEZyRCR5dnt4aZg9aF
26,"Time table ICE Deptt. Odd sem 2019Published By: Prof. ASHA RANI, PROFESSOR, INSTRUMENTATION AND CONTROL ENGINEERING",25-06-2019,https://www.imsnsit.org/imsnsit/plum_url.php?o65I1RoJ8XfXo5bv3tGCuuwMfdUzLY5FKcBAuNMPbpPGV6mErbPEmvTtz8IKD7rfLIajIbA/bRN6oFNq3/g38vtqPM8RHG5Zmm3UNK6dOSZIflr8qDg632dQ0G2NoPVOyyHau2weAGVqfNKthgOVvvYRgxFn5vB9/WqH1hR9V997bvuSGVtwzNIU/8ul/rZFnjh5a25r9HtbUi4YFgN+Hmmo2NCE044lfY/Rs6wV+xE=
27,"Time Table of MPAE(I/III/V/VII) - ODD Semester-2019Published By: Dr ANDRIYA NARASIMHULU, ASSISTANT PROFESSOR, MANUFACTURING PROCESSES AND AUTOMATION ENGINEERING",25-06-2019,https://www.imsnsit.org/imsnsit/plum_url.php?ohWJ0CjdyBTKCE/FAkAjtGCZnaTY7Y32i6X/m1RO3qqKHkyoislPhSCD9WDIHVP+2xfvHn99IYyHdxuoeUaOVKDyEW5YmpzTJ9AjD4ncBCYtqQIrQNWRi5HwEPjAokJ93951SaXAyXMOdsUGGF2ax4OpaLwTYB2m3fvUUoS1SVNNBCavgBJzr7C64KJNG8EJpoie9XHjNEEn/LsdEw7X6g==
28,"Time Table of ME(I/III/V/VII) - ODD Semester-2019Published By: Dr ANDRIYA NARASIMHULU, ASSISTANT PROFESSOR, MANUFACTURING PROCESSES AND AUTOMATION ENGINEERING",25-06-2019,https://www.imsnsit.org/imsnsit/plum_url.php?D5xKNJDjVG6d8D/QsWWpMIpDkYpVQKsT1Pgf31CbOzaUGjM3TpkP08mYEyVNq0sJsE9EyHZumQ5PxpzsgLpgMKqNRqTlS85GRUQyYY4RqIgptjure28gkcDPvNMQ+CLIlyYt/h4FVFJHtwnI+lu9SaE01GaN9BZ6s7uFPRuVzRgqebFMBeNA83V2SGXqsGHwRujrWg38ztLwpvk8FdJR2A==
29,"TIME TABLE (ECE) FOR ODD SEMESTER (III/V/VII) 2019-20Published By: Dr. ANKUR BANSAL, ASSISTANT PROFESSOR, ELECTRONICS AND COMMUNICATION ENGINEERING",25-06-2019,https://www.imsnsit.org/imsnsit/plum_url.php?8+/ECT95pLu2OK0qWW6mRFFss4ZVkHnlO7mdbYllq9NO9DrtE4fxpY4Lj1Ku6jAEPFA1QvL/XLtHzm6PE26wau4HGyyO8Y9GHk9HoR55l2zECo65Tq7xM73YLgldoiWhGPa5rVUucC007nJHzBfRba+KD9FG5uuLukqZaa0BGFHO21dnPsA6UZBvZ/StN/+OFNyTy2clMbPWZxjhK8jYiVNd92ofZ/twed2rfYa+zF9EJLcW3k73YDNuF4KERWpY
